frame_idx,velocity_magnitude
0,0.0
1,1.3951660896571654
2,2.042808516144991
3,3.344291899919586
4,3.707164226925299
5,3.239008056605771
6,2.640622681722252
7,2.0743467257607153
8,1.2023150906105164
9,1.4703462852781546
10,2.1466922828043344
11,3.4798547896025736
12,4.594538889095171
13,5.019008503473066
14,5.497887825525091
15,5.013377038167523
16,4.415399134886695
17,6.563371258951047
18,7.752958351713706
19,8.932173491098078
20,9.687865168264976
21,8.508605387002683
22,10.180134756490428
23,10.377293020118469
24,9.488231750444042
25,7.801466473164927
26,10.08755906251818
27,6.02016570120269
28,8.055416970550839
29,8.653091692282809
30,6.944557141450651
31,6.5392674050807225
32,3.984312386032734
33,5.4707818848320695
34,8.75067975587152
35,7.477232475925364
36,7.163275503929349
37,8.570939214997873
38,8.968552457963433
39,9.26396615735725
40,8.605913178223958
41,5.978812154134216
42,4.910288835767518
43,6.936180897954721
44,5.533721550885977
45,5.875468032922362
46,4.806807107976705
47,4.19694460793165
48,6.155893938413377
49,7.390801747027854
50,4.926901969043957
51,3.622894788824661
52,5.953390328751023
53,5.8147904425567045
54,5.310911229684123
55,5.126548661433485
56,4.254191046125962
57,5.7746738637898805
58,7.898584669798187
59,9.449137070145742
60,9.314195924860261
61,7.4627143451315465
62,6.43071470022101
63,4.6976467787790845
64,3.486933976701245
65,1.8971421234549015
66,1.4068346108415062
67,1.2490167924719306
68,1.8214490406718036
69,2.6738022587847436
70,1.672272735391053
71,1.0651341830064904
72,1.6120779702599657
73,0.7328292219466542
74,1.3270679214084786
75,2.044860077215649
76,2.5842168373646066
77,1.4983040599363557
78,2.192697055395112
79,2.56550727178459
80,1.9231359361909433
81,1.9380470940098087
82,2.2357101967934896
83,3.5410156675518323
84,3.40823212247825
85,3.1615310007562614
86,3.359299249343957
87,1.6948552302996154
88,2.1194124705615836
89,2.133065816350814
90,2.0442970770491398
91,2.1981885357650373
92,3.518494573223747
93,4.269425065641643
94,3.078885523770004
95,2.478854286922375
96,2.6473862365595195
97,2.234383228242167
98,2.253248515208408
99,2.1122828297011327
100,2.729017358070675
101,2.491151749625181
102,2.3623619858161176
103,2.0414331539262003
104,1.6787667650405993
105,1.5574838156056172
106,2.3016084691427947
107,1.5700718505566342
108,1.6175159930923495
109,1.7963395360850283
110,1.5595642028677354
111,1.8585911210409873
112,2.5880632187847272
113,2.4412459265180626
114,1.7963500751046473
115,1.5513151355640553
116,1.6909808124421417
117,2.9992093208478385
118,3.8033472189129833
119,4.7670417967978915
120,4.999674944593243
121,3.6876755041848392
122,1.921276206715913
123,2.0619404435637905
124,2.496904094260523
125,3.347256382464818
126,5.369313011255208
127,5.743280816958204
128,4.934791381890751
129,3.396505326022062
130,2.0758633348591173
131,1.2040051174011344
132,2.1564706068809354
133,2.535843123592953
134,2.4005467736605905
135,2.069583401300983
136,1.6691647328324268
137,2.040824690505157
138,2.604509760510529
139,2.5392861988732323
140,2.121831933637596
141,1.8601761009283906
142,1.429296121940788
143,0.8558556301255462
144,2.1703495281003526
145,2.4895322318305206
146,2.7683319516078746
147,2.2775954710386404
148,4.22641006844194
149,6.0055952538514035
150,9.207376595965304
151,13.22406060686614
152,12.198009696061769
153,11.479345814928365
154,9.541282208785224
155,7.573219418855051
156,4.556036762491431
157,5.235160081877776
158,7.6128607042302825
159,10.89389924781189
160,11.899596378617334
161,10.79491261485157
162,9.089082082033142
163,6.814952445492068
164,5.206242108824988
165,3.1362516857631544
166,2.2183806676849738
167,1.7930876509138094
168,1.6120201536074175
169,2.041032309637414
170,2.1373870322980966
171,2.549077770414725
172,3.180268301473545
173,3.7019276369912144
174,3.2003770025522758
175,2.212675691807938
176,2.0326130555828734
177,2.037861877029777
178,3.1680628163118776
179,3.747822471482677
180,5.101077592367453
181,4.5506368988421135
182,3.4953915058602956
183,2.4103916836489763
184,2.433540635860296
185,2.1262652480534903
186,2.4206610537180415
187,2.6515081576441806
188,2.5235060033793446
189,1.7981072259884514
190,1.76549302846281
191,1.1617093536660517
192,2.3594398217247803
193,3.409105377609011
194,3.4683308385504494
195,3.6655251615404523
196,3.177154216851762
197,3.025257736739862
198,3.2676363915946047
199,3.417448111985423
200,3.4915520869741634
201,6.235941799065009
202,4.887182565640879
203,2.677060017803852
204,3.075371233288249
205,3.5951341398603174
206,3.9404340245019736
207,4.407764532288629
208,5.026657196293453
209,4.520024640647881
210,3.737224579477063
211,3.309112791918597
212,4.825215631015571
213,5.609432654745382
214,5.386647450483959
215,4.901804572815985
216,4.517676906058993
217,3.9882845689145934
218,3.484309108027613
219,3.115061489914617
220,2.8115501546511554
221,2.637100488931568
222,2.6513384212905597
223,2.2775453310296085
224,2.9783210467378005
225,3.959353175183802
226,3.5439326690607316
227,3.4535121014170618
228,2.4877983672137045
229,1.5310824453330927
230,1.5475789552412305
231,1.99976822989476
232,2.4677473598707795
233,1.8725644568299422
234,2.770958323099054
235,4.6536990973199
236,5.411208799245946
237,5.103127890503931
238,4.561410583163412
239,4.3412936076027595
240,4.081932159109501
241,3.2466010206241878
242,2.0852019875100827
243,1.2763486018895747
244,1.2783161497108353
245,2.280425986560195
246,3.1299448843478848
247,3.2709860697889006
248,2.7723158557245164
249,2.5144962235722175
250,2.5877883941558615
251,2.8323798024505153
252,2.6331672581245478
253,3.364806002036893
254,2.3677556408359997
255,2.567297583588731
256,2.830145871540413
257,1.6279903734249135
258,1.0399107465931914
259,1.7521178417396093
260,2.900506051125665
261,4.782998195110109
262,6.286384947340241
263,6.645801103693772
264,6.0102077757613115
265,4.186164454943358
266,2.846316646465383
267,2.608927847793212
268,2.6462202665523358
269,2.9716535246185964
270,3.5603744055777256
271,4.125652335920178
272,3.376342610539039
273,2.8570261888863846
274,2.535121930141669
275,2.021399002095615
276,1.3425409127302397
277,1.0562894043458644
278,1.496310971290964
279,1.3671895080844871
280,1.4460175403732565
281,1.328462874480465
282,1.0192554364119428
283,1.4813531677017875
284,2.064508362301645
285,1.698730874642444
286,1.687488710062277
287,2.66204585884412
288,1.5773936091900196
289,1.2738956917503867
290,1.5449349277666067
291,1.4134914929529723
292,1.0336578564914505
293,0.9555767300163818
294,1.0368876476641424
295,1.7446645580669162
296,1.356906909724526
297,1.1818076985938633
298,1.4413078076127657
299,2.562702760951187
300,3.612559420432992
301,5.438828400938257
302,5.854060437176668
303,4.476261850205133
304,3.1823254938394046
305,3.634158434032929
306,4.179202508200805
307,5.241019236789809
308,6.4991433880615
309,7.164456142306239
310,7.9924490169440805
311,7.000338385072953
312,4.826699479758404
